Elmo txt chart ver 2.0

[File Properties]
Creation Time,2026-04-14 05:32:28
Last Updated,2026-04-14 05:32:28
Resolution,0.001
Sampling Time,0.001
Recording Time,5.001
Trigger Location Index,0

[Chart Properties]
No.,Name,X Linear,Dimension,Min X Scale,Max X Scale,Min Y Scale,Max Y Scale
1,Chart #1,True,1D,1.07659902693723,1.37682449270203,-564358.680457612,8690444.52773893

[Chart Data]
Display No.,X No.,Y No.,Z No.,X Unit,Y Unit,Color,Style,Width,Hex Display,X Hex Display,Z Hex Display,Zero Scale
1,1,2,0,sec,N/A,ff0000ff,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,3,0,sec,N/A,ff007f00,Solid,TwoPoint,Dec,Dec,Dec,False
1,1,4,0,sec,N/A,ffff0000,Solid,TwoPoint,Dec,Dec,Dec,False

[Signal Names]
1,Time (sec),False
2,a01.Position Command (0x607A) [cnt],False
3,a01.Actual Position (0x6064) [cnt],False
4,a01.Target position [cnt],False

[Signals Data Group 1]
1,2,3,4,
0.43,1862049,2110607,1862048.98166639,
0.431,1813115,2061327,1813115.48166639,
0.432,1764182,2011885,1764181.98166639,
0.433,1715248,1962332,1715248.48166639,
0.434,1666315,1912478,1666314.98166639,
0.435,1617381,1862502,1617381.48166639,
0.436,1568448,1812489,1568447.98166639,
0.437,1519516,1762051,1519516.00199339,
0.438,1470613,1711018,1470612.61699465,
0.439,1421786,1659018,1421786.11399649,
0.44,1373085,1607135,1373085.4229989,
0.441,1324559,1555358,1324559.47400189,
0.442,1276257,1503528,1276257.19700544,
0.443,1228228,1452462,1228227.52200957,
0.444,1180519,1401612,1180519.37901427,
0.445,1133182,1351726,1133181.69801954,
0.446,1086263,1302086,1086263.40902539,
0.447,1039813,1252585,1039813.4420318,
0.448,993881,1203731,993880.727038792,
0.449,948514,1155400,948514.194046354,
0.45,903763,1107140,903762.773054487,
0.451,859675,1059838,859675.394063192,
0.452,816301,1013218,816300.987072471,
0.453,773688,967610,773688.48208232,
0.454,731887,922898,731886.809092742,
0.455,690945,879397,690944.898103737,
0.456,650912,836223,650911.679115304,
0.457,611836,793458,611836.082127443,
0.458,573767,751484,573767.037140153,
0.459,536753,709502,536753.474153437,
0.46,500844,668158,500844.323167292,
0.461,466089,627693,466088.51418172,
0.462,432535,588128,432534.97719672,
0.463,400233,549359,400232.642212292,
0.464,369230,511886,369230.439228437,
0.465,339577,475600,339577.298245153,
0.466,311322,440524,311322.149262442,
0.467,284514,406419,284513.922280303,
0.468,259202,373279,259201.547298736,
0.469,235420,341500,235420.086898127,
0.47,213140,311026,213139.627713547,
0.471,192311,281759,192311.242124375,
0.472,172886,254247,172886.000130611,
0.473,154815,228293,154814.971732253,
0.474,138049,204034,138049.226929304,
0.475,122540,181437,122539.835721762,
0.476,108238,160481,108237.868109628,
0.477,95094,141359,95094.3940929007,
0.478,83060,124114,83060.4836715814,
0.479,72087,109039,72087.2068456691,
0.48,62126,95992,62125.633615165,
0.481,53127,85000,53126.8339800676,
0.482,45042,75041,45041.8779403782,
0.483,37822,66833,37821.8354960959,
0.484,31418,59793,31417.7766472213,
0.485,25781,53860,25780.7713937545,
0.486,20862,48916,20861.889735695,
0.487,16612,44650,16612.201673043,
0.488,12983,40714,12982.7772057988,
0.489,9925,37360,9924.68633396178,
0.49,7389,34627,7388.99905753229,
0.491,5327,32526,5326.78537651058,
0.492,3689,30973,3689.11529089604,
0.493,2427,29846,2427.05880068894,
0.494,1492,29139,1491.68590588961,
0.495,834,29275,834.066606497392,
0.496,405,29711,405.270902512595,
0.497,156,30450,156.368793935515,
0.498,38,31343,38.4302807655185,
0.499,3,32069,2.52536300383508,
0.5,0,32416,0,
0.501,0,32449,0,
0.502,0,32243,0,
0.503,0,31896,0,
0.504,0,31453,0,
0.505,0,30700,0,
0.506,0,29941,0,
0.507,0,29401,0,
0.508,0,28790,0,
0.509,0,28243,0,
0.51,0,27793,0,
0.511,0,27698,0,
0.512,0,27856,0,
0.513,0,27840,0,
0.514,0,27909,0,
0.515,0,27963,0,
0.516,0,27827,0,
0.517,0,27771,0,
0.518,0,27736,0,
0.519,0,27400,0,
0.52,0,26985,0,
0.521,0,26259,0,
0.522,0,25056,0,
0.523,0,23693,0,
0.524,0,22331,0,
0.525,0,20874,0,
0.526,0,19620,0,
0.527,0,18629,0,
0.528,0,17548,0,
0.529,0,16715,0,
0.53,0,16425,0,
0.531,0,16241,0,
0.532,0,16114,0,
0.533,0,15937,0,
0.534,0,15711,0,
