packet_no,rel_ms,src_ip,src_port,dst_ip,dst_port,payload_len,packet_type,command_id_hex,response_to_packet_no,response_latency_ms,payload_hex,move_position,move_velocity,move_acceleration,move_deceleration,move_jerk,move_direction,move_buffer_mode,fb_handle,fb_status,fb_status_flags,fb_error,read_state_hex,read_state_flags,readstatus_status,readstatus_error,readstatus_axis_error,readstatus_statusword_hex,note
153,131316.700,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
154,131989.100,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,153,672.400,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=131989.100
155,133134.800,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
156,133828.900,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,155,694.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=133828.900
157,134999.700,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
158,135667.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,157,667.900,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=135667.600
159,136817.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
160,137474.500,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,159,657.300,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=137474.500
161,138581.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
162,139209.100,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,161,627.800,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=139209.100
163,140338.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
164,140992.100,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,163,653.900,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=140992.100
165,142095.400,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
166,142776.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,165,681.000,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=142776.400
167,143852.700,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
168,144476.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,167,623.700,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=144476.400
169,145647.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
170,146313.000,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,169,665.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=146313.000
171,147470.500,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
172,148131.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,171,661.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=148131.600
173,149243.800,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
174,149909.900,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,173,666.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=149909.900
175,151021.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
176,151671.200,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,175,649.900,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=151671.200
177,152774.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
178,153428.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,177,654.400,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=153428.600
179,154559.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
180,155717.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,179,1158.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=155717.400
181,156880.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
182,157597.900,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,181,717.000,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=157597.900
183,158713.500,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
184,159346.900,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,183,633.400,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=159346.900
185,160430.400,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
186,161086.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,185,656.400,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=161086.800
187,162157.600,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
188,162780.100,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,187,622.500,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=162780.100
189,163931.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
190,164648.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,189,717.100,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=164648.400
191,165761.600,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
192,166400.600,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,191,639.000,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=166400.600
193,167499.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
194,168248.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,193,748.500,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=168248.400
195,169345.200,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
196,169988.100,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,195,642.900,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=169988.100
197,171113.900,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
198,171836.500,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,197,722.600,00000c000000000044000040000000000000b712,,,,,,,,,,,,0x40000044,CONSTANT_VELOCITY|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=171836.500
199,172945.100,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
200,173582.800,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,199,637.700,00000c000000000041000040000000000000b712,,,,,,,,,,,,0x40000041,DECELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=173582.800
201,174674.300,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
202,175301.200,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,201,626.900,00000c000000000041000040000000000000b712,,,,,,,,,,,,0x40000041,DECELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=175301.200
203,176399.100,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
204,177094.400,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,203,695.300,00000c000000000041000040000000000000b712,,,,,,,,,,,,0x40000041,DECELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=177094.400
205,178177.000,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
206,178809.300,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,205,632.300,00000c000000000041000040000000000000b712,,,,,,,,,,,,0x40000041,DECELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=178809.300
207,179866.100,192.168.1.13,6713,192.168.1.3,4000,16,ReadStatus Request,0x2028,,,28200000080000000000000001000000,,,,,,,,,,,,,,,,,,payloadSize=8;axisRef=0;handle=0;enable=1
208,180480.900,192.168.1.3,4000,192.168.1.13,6713,20,ReadStatus Response,0x2028,207,614.800,00000c000000000041000040000000000000b712,,,,,,,,,,,,0x40000041,DECELERATING|DISCRETE_MOTION,0,0,0,0x12B7,sinceMoveReqMs=180480.900
